,El grand cavalcodos,0,Bunuel; Year is not defined
,Judy Geeson,1948; Duplicate star
,Bill Gerber,; Duplicate star
,Richard Gere,1949; Duplicate star
,Balthazar Getty,1975; Duplicate star
,Giancarlo Giannini,1942; Duplicate star
,Henry Gibson,1935; Duplicate star
,Annie Girardot,1931; Duplicate star
,Paul Michael Glaser,1943; Duplicate star
,Jeff Goldblum,1952; Duplicate star
,Colin Gordon,1911; Duplicate star
,Robert Gordon,; Duplicate star
,Elliott Gould,1938; Duplicate star
,Harold Gould,1923; Duplicate star
,Graham Greene,1904; Duplicate star
,Pam Grier,1949; Duplicate star
,Melanie Griffith,1957; Duplicate star
,Charles Grodin,1935; Duplicate star
,Gene Hackman,1930; Duplicate star
,Harry Hamlin,1951; Duplicate star
,Tom Hanks,1956; Duplicate star
,Mark Harmon,1951; Duplicate star
,John Hart,; Duplicate star
,Mariette Hartley,1940; Duplicate star
,Rutger Hauer,1944; Duplicate star
,Goldie Hawn,1945; Duplicate star
,John Heard,1946; Duplicate star
,Mariel Hemingway,1961; Duplicate star
,David Hemmings,1941; Duplicate star
,Justin Henry,1971; Duplicate star
,Bernard Hepton,1925; Duplicate star
,Dustin Hoffman,1937; Duplicate star
,Bo Hopkins,1942; Duplicate star
,Bob Hoskins,1942; Duplicate star
,Dan Howard,; Duplicate star
,Helen Hunt,1963; Duplicate star
,Holly Hunter,1958; Duplicate star
,Elizabeth Hurley,1965; Duplicate star
,John Hurt,1940; Duplicate star
,William Hurt,1950; Duplicate star
,Olivia Hussey,1951; Duplicate star
,Anjelica Huston,1951; Duplicate star
,Timothy Hutton,1960; Duplicate star
,Jeremy Irons,1948; Duplicate star
,Samuel L. Jackson,1948; Duplicate star
,Derek Jacobi,1938; Duplicate star
,Elton John,1947; Duplicate star
,Stephen Johnson,; Duplicate star
,Freddie Jones,1927; Duplicate star
,Shirley Jones,1934; Duplicate star
,Tommy Lee Jones,1946; Duplicate star
,Stacy Keach,1941; Duplicate star
,Marthe Keller,1945; Duplicate star
,Gary Kemp,1959; Duplicate star
,George Kennedy,1925; Duplicate star
,Margot Kidder,1948; Duplicate star
,Nicole Kidman,1967; Duplicate star
,Val Kilmer,1959; Duplicate star
,Greg Kinnear,1963; Duplicate star
,Kris Kristofferson,1936; Duplicate star
,Burt Kwouk,1930; Duplicate star
,Diane Lane,1965; Duplicate star
,Mike Lane,; Duplicate star
,Jessica Lange,1949; Duplicate star
,Louise Lasser,1939; Duplicate star
,John Phillip Law,1937; Duplicate star
,Cloris Leachman,1926; Duplicate star
,Mark Lee,; Duplicate star
,Joe Lewis,; Duplicate star
,Robert Loggia,1930; Duplicate star
,Karina Lombard,1969; Duplicate star
,Shirley MacLaine,1934; Duplicate star
,Jena Malone,1984; Duplicate star
,Jane March,1973; Duplicate star
,Jane March,1973; Duplicate star
,Bryan Marshall,; Duplicate star
,James Marshall,1967; Duplicate star
,Steve Martin,1945; Duplicate star
,Anna Massey,1937; Duplicate star
,Peter Masterson,; Duplicate star
,Chiara Mastroianni,1972; Duplicate star
,Elaine May,1932; Duplicate star
,Malcolm McDowell,1943; Duplicate star
,Ian McShane,1942; Duplicate star
,Spike Milligan,1918; Duplicate star
,Ron Moody,1924; Duplicate star
,Terry Moore,1929; Duplicate star
,Jeanne Moreau,1928; Duplicate star
,Rita Moreno,1931; Duplicate star
,Michael Murphy,; Duplicate star
,Don Murray,1929; Duplicate star
,Tom Murray,; Duplicate star
,James Naughton,1945; Duplicate star
,Judd Nelson,1959; Duplicate star
,Willie Nelson,1933; Duplicate star
,Paul Newman,1925; Duplicate star
,Jack Nicholson,1937; Duplicate star
,Nick Nolte,1941; Duplicate star
,Kim Novak,1933; Duplicate star
,Kevin OConnor,; Duplicate star
,Gary Oldman,1958; Duplicate star
,Per Oscarsson,1927; Duplicate star
,Peter OToole,1932; Duplicate star
,Frank Oz,1944; Duplicate star
,Sarah Jessica Parker,1965; Duplicate star
,Dolly Parton,1946; Duplicate star
,Sean Penn,1960; Duplicate star
,Bernadette Peters,1948; Duplicate star
,Leslie Phillips,1924; Duplicate star
,Michel Piccoli,1925; Duplicate star
,Ronald Pickup,1940; Duplicate star
,Marie-France Pisier,1944; Duplicate star
,Joan Plowright,1929; Duplicate star
,Roman Polanski,1933; Duplicate star
,Sydney Pollack,1934; Duplicate star
,Natalie Portman,1981; Duplicate star
,Micheline Presle,1922; Duplicate star
,Elvis Presley,1935; Duplicate star
,Barry Primus,1938; Duplicate star
,Jonathan Pryce,1947; Duplicate star
,Anthony Quinn,1915; Duplicate star
,Ronald Reagan,1911; Duplicate star
,Lynn Redgrave,1943; Duplicate star
,Vanessa Redgrave,1937; Duplicate star
,Roger Rees,1944; Duplicate star
,Frances Reid,; Duplicate star
,Carl Reiner,1922; Duplicate star
,Burt Reynolds,1936; Duplicate star
,Don Rickles,1926; Duplicate star
,Leni Riefenstahl,1902; Duplicate star
,Diana Rigg,1938; Duplicate star
,John Ritter,1948; Duplicate star
,Eric Roberts,1956; Duplicate star
,Julia Roberts,1967; Duplicate star
,James Robertson,; Duplicate star
,Jean Rochefort,1930; Duplicate star
,Mickey Rooney,1920; Duplicate star
,Leo Rossi,; Duplicate star
,Kurt Russell,1951; Duplicate star
,Winona Ryder,1971; Duplicate star
,Soupy Sales,1926; Duplicate star
,Peter Sallis,1921; Duplicate star
,Jennifer Salt,1944; Duplicate star
,Adam Sandler,1966; Duplicate star
,Chris Sarandon,1942; Duplicate star
