759703,591005
844534,693087
558708,451636
1181484,1055431
496736,434489
475993,324704
842181,759922
439108,300110
463849,390275
687521,564823
808470,670383
423229,348599
427813,315560
759144,658291
373529,312055
530080,415408
1546867,1429602
410085,324796
681526,596107
783680,708835
673105,563404
494377,434233
1250691,1170167
569240,515807
715829,647753
818218,740092
587779,481675
365748,274421
566938,508710
531425,475556
587015,464160
507499,433172
715303,630649
497034,426040
527761,448445
738712,649808
587248,536149
425582,360189
408037,289272
1013132,829929
553222,495860
570958,458356
473253,420903
371111,296426
914095,865439
688551,520332
452479,372536
514366,390174
632827,527923
970223,876441
510985,434913
576335,517310
1436332,1373873
1236574,1175190
614695,470341
597809,485995
358750,300687
564929,497195
479972,414199
377860,308324
434128,376135
294872,242833
386070,296413
444671,329628
619381,509212
517714,387891
798616,721298
695330,612673
635839,524789
419999,332860
728179,664954
452678,350092
612487,556078
524358,412296
481395,346115
515834,396047
687328,589368
1239144,1179131
589490,503642
361347,280564
480654,372881
670045,605604
485386,380452
543384,402634
367492,253699
484105,364069
860121,783217
455272,388236
1270375,1195501
1617770,1549897
1592599,1498274
3357904,3284068
634716,521215
681265,559237
1297928,1171895
473722,355281
1065275,962969
436886,335999
613717,485102
1328856,1259745
1909673,1837237
409874,347548
711895,602523
1673376,1571433
2321350,2182055
350158,244639
557009,451750
1312865,1217215
816335,710335
1288837,1228343
1763199,1695975
423990,348333
3485548,396336
1054922,948657
4616645,4522013
366393,261799
679932,575429
494854,372384
1242658,1189649
1404747,1267043
2018327,1911230
439754,384496
1212795,1071854
1534229,1425433
1567583,1433672
523412,421422
780794,696408
1259910,1136059
1557794,1431786
2767705,2713980
2834316,2782752
346859,284237
473911,326291
1903595,1821031
2418628,2301493
3000154,2924968
594256,508433
478688,398095
1013344,904976
1518494,1451606
2025420,1955585
2623067,2514176
1069414,940432
1252238,1147525
1905807,1806060
460020,387041
845442,683292
644864,569507
1093086,984012
1729005,1655027
682910,598536
1230519,1141758
578978,457855
1082825,963556
1715409,1614917
2288371,2163663
733778,593450
721704,631778
1167553,1070219
1897676,1789270
530815,431576
1108898,1012666
890341,761610
1452966,1346567
1991358,1898049
2638602,2573161
918327,765837
599260,525345
1348638,1256070
4875185,4811151
522312,399205
3942263,3873147
514544,390113
2201270,2108043
4919756,4813098
5682858,5555403
632963,481659
843433,724273
1813255,1758494
444206,373623
581758,516890
1177488,1120059
689213,568358
1160782,1045196
1880462,1785229
2756610,2660307
814520,672080
535391,426590
1210046,1153081
418840,344820
377250,311594
440115,373934
559451,442653
1024872,932476
1505290,1398201
2247848,2130411
852992,660019
453352,332302
904719,843808
350692,285329
422946,314382
405555,344048
1009455,869351
1430419,1304999
